gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,year_年份
235,235,8,1973
236,236,4,1980
236,236,5,1964
236,236,6,1978
238,238,4,1988
238,238,5,1959
238,238,7,1958
239,239,5,1969
241,241,4,1979
241,241,5,1961
241,241,6,1966
241,241,7,1961
241,241,8,1967
242,242,1,2000
242,242,5,1965
242,242,7,1958
242,242,8,1958
243,243,7,1959
244,244,4,1992
244,244,5,1963
244,244,7,1955
245,245,5,1951
246,246,1,1986
246,246,4,1984
246,246,7,1958
246,246,8,1958
247,247,1,1986
248,248,4,1989
248,248,6,1976
248,248,7,1958
249,249,4,1986
249,249,5,1964
249,249,6,1977
249,249,8,1957
250,250,1,1985
250,250,4,1991
250,250,5,1960
250,250,8,1960
251,251,4,1985
251,251,5,1966
251,251,6,1988
252,252,4,1983
252,252,5,1968
252,252,8,1968
253,253,4,1993
253,253,5,1966
253,253,6,1975
253,253,8,1957
254,254,1,1990
254,254,4,1989
254,254,5,1966
255,255,1,1985
255,255,4,1982
255,255,5,1963
255,255,7,1956
256,256,4,1964
256,256,5,1964
256,256,8,1960
257,257,1,1992
257,257,2,1997
257,257,4,1987
257,257,5,1961
257,257,7,1985
258,258,4,1998
258,258,5,1964
260,260,1,1984
260,260,4,1990
260,260,5,1960
260,260,6,1972
260,260,7,1956
260,260,8,1956
262,262,4,1970
262,262,5,1961
263,263,5,1966
263,263,6,1979
263,263,7,1958
264,264,4,1983
264,264,5,1964
264,264,6,1975
264,264,8,1978
265,265,4,1978
266,266,4,2008
266,266,5,1966
266,266,8,1966
267,267,4,1973
268,268,4,1975
268,268,5,1969
268,268,6,1974
268,268,8,1958
269,269,5,1985
270,270,4,1983
270,270,5,1975
270,270,6,1979
270,270,7,1958
270,270,8,1953
271,271,4,1987
271,271,5,1974
272,272,7,1958
273,273,4,1987
273,273,5,1971
275,275,4,1990
276,276,4,1993
277,277,4,1999
277,277,5,1986
277,277,6,1978
277,277,7,1978
278,278,8,1959
279,279,5,1978
280,280,4,1982
280,280,5,1960
281,281,4,1996
281,281,5,1959
281,281,6,1980
281,281,8,1972
282,282,4,1989
282,282,5,1971
282,282,8,1962
283,283,4,1985
283,283,5,1975
283,283,6,1984
285,285,5,1961
286,286,4,1974
286,286,6,1975
287,287,1,1990
287,287,4,1988
287,287,5,1965
287,287,7,1956
289,289,4,1984
289,289,5,1974
292,292,1,1990
292,292,4,1991
292,292,5,1966
292,292,7,1956
292,292,8,1969
293,293,5,1972
294,294,4,1970
294,294,5,1958
295,295,4,1984
295,295,5,1969
295,295,6,1981
295,295,8,1957
296,296,4,1984
296,296,6,1979
296,296,8,1971
297,297,4,1991
297,297,5,1976
297,297,6,1979
298,298,4,2002
298,298,7,1972
298,298,8,1963
299,299,4,1981
300,300,6,1979
300,300,8,1958
301,301,4,1987
302,302,5,1964
302,302,6,1981
302,302,7,1957
302,302,8,1962
304,304,5,1966
304,304,6,1975
304,304,8,1958
305,305,5,1970
305,305,8,1970
306,306,5,1955
306,306,7,1952
306,306,8,1952
307,307,5,1976
309,309,4,1994
309,309,5,1965
309,309,6,1977
309,309,8,1958
313,313,4,2001
313,313,5,1971
313,313,6,1980
313,313,8,1972
314,314,3,1990
314,314,4,2006
314,314,5,1965
314,314,6,1975
315,315,1,1990
315,315,3,2012
315,315,4,2007
315,315,5,1968
316,316,4,1975
316,316,5,1962
316,316,6,1978
316,316,7,1960
316,316,8,1958
318,318,5,1977
319,319,5,1985
320,320,4,1994
320,320,5,1990
321,321,4,1979
321,321,5,1973
322,322,4,1978
322,322,6,1970
322,322,8,1960
323,323,4,1993
323,323,8,1976
324,324,5,1985
324,324,8,1969
325,325,7,1963
326,326,4,1991
326,326,5,1961
326,326,6,1980
326,326,7,1953
326,326,8,1958
327,327,5,1961
329,329,4,1990
329,329,5,1967
329,329,8,1973
330,330,5,1961
330,330,6,1982
331,331,7,1950
332,332,6,1979
332,332,8,1956
333,333,3,2005
333,333,4,1978
334,334,5,1958
334,334,7,1957
335,335,4,1994
335,335,5,1976
335,335,6,1980
337,337,4,1992
337,337,5,1969
337,337,7,1958
337,337,8,1966
338,338,4,1994
339,339,6,1973
339,339,7,1960
339,339,8,1958
340,340,4,1982
340,340,5,1962
340,340,6,1978
340,340,7,1958
340,340,8,1958
341,341,6,1981
341,341,8,1964
343,343,4,1984
343,343,5,1961
343,343,6,1979
343,343,7,1958
343,343,8,1959
344,344,5,1976
344,344,8,1958
347,347,4,1976
348,348,5,1969
348,348,6,1980
348,348,8,1964
349,349,4,1986
349,349,5,1969
350,350,4,1993
350,350,5,1986
350,350,8,1958
351,351,4,2005
351,351,5,1973
352,352,5,1970
352,352,6,1973
352,352,8,1958
353,353,4,1981
353,353,5,1960
353,353,6,1975
353,353,8,1958
354,354,8,1965
355,355,5,1971
356,356,5,1963
357,357,4,1970
357,357,5,1959
357,357,6,1978
358,358,5,1966
358,358,7,1957
358,358,8,1965
359,359,4,2001
359,359,5,1958
359,359,7,1958
360,360,5,1964
361,361,4,1999
361,361,5,1965
361,361,7,1953
362,362,4,1983
362,362,5,1957
362,362,6,1974
362,362,7,1958
363,363,4,1984
363,363,5,1957
363,363,7,1952
364,364,4,1984
364,364,5,1965
364,364,7,1958
364,364,8,1958
365,365,4,1984
365,365,5,1962
365,365,6,1977
365,365,8,1958
366,366,4,1977
366,366,5,1960
366,366,7,1958
367,367,4,1979
367,367,5,1963
367,367,7,1956
368,368,4,1983
368,368,5,1965
368,368,6,1973
368,368,8,1958
369,369,3,2005
369,369,7,1960
370,370,4,1998
370,370,5,1988
370,370,6,1978
370,370,7,1956
370,370,8,1956
371,371,4,1987
371,371,6,1981
372,372,4,1987
372,372,6,1977
372,372,7,1958
372,372,8,1958
373,373,4,1981
374,374,4,2001
374,374,7,1958
375,375,4,2007
375,375,5,1958
375,375,6,1980
375,375,7,1981
375,375,8,1958
376,376,4,2003
376,376,5,1961
376,376,6,1971
376,376,7,1958
376,376,8,1961
377,377,5,1958
377,377,6,1979
377,377,8,1958
378,378,5,1965
378,378,6,1975
378,378,7,1957
378,378,8,1957
379,379,5,1958
381,381,4,1982
381,381,5,1964
382,382,5,1982
382,382,6,1981
382,382,8,1968
383,383,4,1958
383,383,5,1951
385,385,4,1967
385,385,8,1967
386,386,4,1996
386,386,5,1988
387,387,5,1967
389,389,3,2013
389,389,4,1985
389,389,5,1958
389,389,7,1969
390,390,8,1969
391,391,5,1962
391,391,8,1964
392,392,4,2009
392,392,5,1960
392,392,6,1978
392,392,8,1977
393,393,4,1979
393,393,5,1961
394,394,4,1985
394,394,5,1958
394,394,7,1954
396,396,4,1994
396,396,5,1965
396,396,7,1956
398,398,5,1986
398,398,6,1987
398,398,8,1969
399,399,8,1956
400,400,5,1968
401,401,5,1962
401,401,8,1969
402,402,5,1965
402,402,8,1963
405,405,4,1992
406,406,5,1969
406,406,7,1989
406,406,8,1970
407,407,4,1964
407,407,8,1981
408,408,4,1984
408,408,6,1976
409,409,5,1957
409,409,6,1981
409,409,7,1956
409,409,8,1955
411,411,4,2009
411,411,5,1971
412,412,5,1969
412,412,7,1958
413,413,4,1998
413,413,5,1987
413,413,6,1985
413,413,8,1975
414,414,4,1970
414,414,5,1974
416,416,4,1992
416,416,5,1969
416,416,7,1962
416,416,8,1958
417,417,4,2003
417,417,5,1963
418,418,4,1985
418,418,7,1956
419,419,4,1984
419,419,6,1967
419,419,7,1968
419,419,8,1959
420,420,4,1988
420,420,5,1967
420,420,7,1957
421,421,4,1990
421,421,6,1975
421,421,8,1957
422,422,1,1981
422,422,4,1975
422,422,5,1958
422,422,6,1976
422,422,7,1964
422,422,8,1958
423,423,4,1978
423,423,5,1962
424,424,4,1982
424,424,5,1962
427,427,4,2002
427,427,5,1970
427,427,7,1958
428,428,4,1999
428,428,5,1975
428,428,6,1978
428,428,7,1958
428,428,8,1960
429,429,4,1963
429,429,5,1963
429,429,6,1972
429,429,8,1964
430,430,4,1995
430,430,5,1973
431,431,4,1984
431,431,8,1971
432,432,1,2014
432,432,4,2014
432,432,5,1982
432,432,6,1984
432,432,8,1960
433,433,4,2000
433,433,5,1980
433,433,8,1957
434,434,5,1962
434,434,6,1979
434,434,8,1957
435,435,4,1983
435,435,6,1979
435,435,7,1958
437,437,4,1996
437,437,5,1985
437,437,7,1958
438,438,4,1988
438,438,5,1966
438,438,6,1972
438,438,7,1968
439,439,6,1984
439,439,8,1977
440,440,4,2000
440,440,8,1958
441,441,6,1983
441,441,8,1970
442,442,4,1991
442,442,7,1957
444,444,4,1987
444,444,5,1975
444,444,8,1966
445,445,6,1984
445,445,7,1960
445,445,8,1958
446,446,4,1986
446,446,5,1970
446,446,6,1976
