gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
201,201,3,1,15.8
203,203,1,3,NULL
203,203,2,2,606.4
203,203,3,1,11.8
204,204,1,3,NULL
204,204,2,2,850
204,204,3,1,15.6
205,205,1,3,NULL
205,205,2,2,1357
205,205,3,1,17.2
206,206,1,3,NULL
206,206,2,2,900
206,206,3,1,15
207,207,1,3,NULL
207,207,2,2,918.7
207,207,3,1,16
208,208,1,3,NULL
208,208,2,2,759
208,208,3,1,15.6
209,209,1,3,1887
209,209,2,2,797
209,209,3,1,20
210,210,1,3,1732
210,210,2,2,879.1
210,210,3,1,15
211,211,1,3,1840
211,211,2,2,1200
211,211,3,1,NULL
212,212,1,3,550
212,212,2,2,865.9
212,212,3,1,16
213,213,1,3,510.8
213,213,2,2,980
213,213,3,1,16.1
214,214,1,3,1887
214,214,2,2,NULL
214,214,3,1,16.5
215,215,1,3,1800
215,215,2,2,1000
215,215,3,1,14.1
216,216,1,3,673
216,216,2,2,NULL
216,216,3,1,NULL
217,217,1,3,496
217,217,2,2,880
217,217,3,1,20
218,218,1,3,NULL
218,218,2,2,1095.5
218,218,3,1,15.36
219,219,1,3,2300
219,219,2,2,1000
219,219,3,1,10.7
220,220,1,3,1209
220,220,2,2,NULL
220,220,3,1,18
221,221,1,3,4.5
221,221,2,2,1238
221,221,3,1,16.3
222,222,1,3,NULL
222,222,2,2,600
222,222,3,1,11.3
223,223,1,3,1774.3
223,223,2,2,829.7
223,223,3,1,15.7
224,224,1,3,92
224,224,2,2,NULL
224,224,3,1,11.7
226,226,1,3,1974
226,226,2,2,1079
226,226,3,1,15
227,227,1,3,NULL
227,227,2,2,556.4
227,227,3,1,11.6
228,228,1,3,NULL
228,228,2,2,NULL
228,228,3,1,15.5
229,229,1,3,1951
229,229,2,2,800
229,229,3,1,14.4
230,230,1,3,NULL
230,230,2,2,1000
230,230,3,1,15
231,231,1,3,4.3
231,231,2,2,1000
231,231,3,1,15
232,232,1,3,40
232,232,2,2,586.7
232,232,3,1,11.7
233,233,1,3,NULL
233,233,2,2,1700
233,233,3,1,21
234,234,1,3,NULL
234,234,2,2,1600
234,234,3,1,21.9
235,235,1,3,NULL
235,235,2,2,1253.1
235,235,3,1,14.9
236,236,1,3,35
236,236,2,2,610
236,236,3,1,11.5
238,238,1,3,NULL
238,238,2,2,1239.1
238,238,3,1,15.98
239,239,1,3,NULL
239,239,2,2,803.6
239,239,3,1,NULL
243,243,1,3,49.8
243,243,2,2,600
243,243,3,1,NULL
244,244,1,3,NULL
244,244,2,2,1148
244,244,3,1,16
245,245,1,3,NULL
245,245,2,2,NULL
245,245,3,1,17.7
248,248,1,3,20.3
248,248,2,2,569.4
248,248,3,1,11.6
249,249,1,3,NULL
249,249,2,2,NULL
249,249,3,1,15.5
251,251,1,3,2300
251,251,2,2,1168
251,251,3,1,10.3
252,252,1,3,NULL
252,252,2,2,472.9
252,252,3,1,10
253,253,1,3,NULL
253,253,2,2,1044
253,253,3,1,NULL
254,254,1,3,NULL
254,254,2,2,1092.8
254,254,3,1,15.5
256,256,1,3,151
256,256,2,2,400
256,256,3,1,9
257,257,1,3,NULL
257,257,2,2,NULL
257,257,3,1,15.5
258,258,1,3,1894
258,258,2,2,1170
258,258,3,1,21
259,259,1,3,2400
259,259,2,2,NULL
259,259,3,1,10.4
261,261,1,3,1240
261,261,2,2,590
261,261,3,1,6.2
262,262,1,3,NULL
262,262,2,2,NULL
262,262,3,1,22.3
263,263,1,3,31
263,263,2,2,488.2
263,263,3,1,12.5
264,264,1,3,NULL
264,264,2,2,1600
264,264,3,1,NULL
265,265,1,3,NULL
265,265,2,2,590
265,265,3,1,12.8
267,267,1,3,389.3
267,267,2,2,NULL
267,267,3,1,NULL
268,268,1,3,NULL
268,268,2,2,620.2
268,268,3,1,14.2
270,270,1,3,NULL
270,270,2,2,1500
270,270,3,1,15
271,271,1,3,NULL
271,271,2,2,553
271,271,3,1,11.4
272,272,1,3,NULL
272,272,2,2,1650
272,272,3,1,13
274,274,1,3,NULL
274,274,2,2,1700
274,274,3,1,22
275,275,1,3,NULL
275,275,2,2,582.8
275,275,3,1,NULL
276,276,1,3,NULL
276,276,2,2,558.24
276,276,3,1,11.1
277,277,1,3,NULL
277,277,2,2,NULL
277,277,3,1,11.5
278,278,1,3,NULL
278,278,2,2,1250
278,278,3,1,18.5
279,279,1,3,NULL
279,279,2,2,430
279,279,3,1,7.2
280,280,1,3,57
280,280,2,2,580.3
280,280,3,1,13.4
281,281,1,3,492
281,281,2,2,870.4
281,281,3,1,6
283,283,1,3,NULL
283,283,2,2,571.9
283,283,3,1,10
286,286,1,3,NULL
286,286,2,2,NULL
286,286,3,1,11.7
287,287,1,3,NULL
287,287,2,2,1156.7
287,287,3,1,15.7
289,289,1,3,NULL
289,289,2,2,1026
289,289,3,1,19
291,291,1,3,NULL
291,291,2,2,600
291,291,3,1,11.8
292,292,1,3,NULL
292,292,2,2,NULL
292,292,3,1,13.5
293,293,1,3,NULL
293,293,2,2,560.4
293,293,3,1,8.8
294,294,1,3,NULL
294,294,2,2,550
294,294,3,1,13.3
297,297,1,3,350
297,297,2,2,530
297,297,3,1,NULL
299,299,1,3,NULL
299,299,2,2,NULL
299,299,3,1,7
300,300,1,3,49
300,300,2,2,520
300,300,3,1,13.2
302,302,1,3,NULL
302,302,2,2,674
302,302,3,1,12
303,303,1,3,NULL
303,303,2,2,623.6
303,303,3,1,8.3
304,304,1,3,NULL
304,304,2,2,1600
304,304,3,1,20
305,305,1,3,NULL
305,305,2,2,900
