gazetteerId,villageInnerId,categoryId,unitId,data
124.0,124.0,3,1,5.9
125.0,125.0,3,1,16.8
126.0,126.0,3,1,23.5
127.0,127.0,3,1,5.7
128.0,128.0,3,1,16.2
129.0,129.0,3,1,7.5
130.0,130.0,3,1,NULL
134.0,134.0,3,1,5.6
135.0,135.0,3,1,6.9
136.0,136.0,3,1,25
137.0,137.0,3,1,15.9
138.0,138.0,3,1,NULL
139.0,139.0,3,1,15
140.0,140.0,3,1,17
141.0,141.0,3,1,7
142.0,142.0,3,1,8.6
144.0,144.0,3,1,16
145.0,145.0,3,1,15.9
146.0,146.0,3,1,22
148.0,148.0,3,1,6
149.0,149.0,3,1,NULL
150.0,150.0,3,1,14
151.0,151.0,3,1,12.8
152.0,152.0,3,1,NULL
153.0,153.0,3,1,18.9
154.0,154.0,3,1,15.2
156.0,156.0,3,1,NULL
157.0,157.0,3,1,18.1
158.0,158.0,3,1,17.0
159.0,159.0,3,1,13.3
160.0,160.0,3,1,NULL
161.0,161.0,3,1,16.4
162.0,162.0,3,1,16
164.0,164.0,3,1,1
166.0,166.0,3,1,12
169.0,169.0,3,1,NULL
170.0,170.0,3,1,NULL
171.0,171.0,3,1,16.8
172.0,172.0,3,1,7.8
173.0,173.0,3,1,17.8
174.0,174.0,3,1,18
176.0,176.0,3,1,6.7
177.0,177.0,3,1,20
178.0,178.0,3,1,12.2
180.0,180.0,3,1,3.5
185.0,185.0,3,1,23
186.0,186.0,3,1,15.8
187.0,187.0,3,1,14
189.0,189.0,3,1,11.5
190.0,190.0,3,1,10.7
191.0,191.0,3,1,22.0
193.0,193.0,3,1,22
195.0,195.0,3,1,15
196.0,196.0,3,1,9.7
197.0,197.0,3,1,NULL
198.0,198.0,3,1,9.2
199.0,199.0,3,1,15.5
200.0,200.0,3,1,NULL
201.0,201.0,3,1,15.8
203.0,203.0,3,1,11.8
204.0,204.0,3,1,15.6
205.0,205.0,3,1,17.2
206.0,206.0,3,1,15
207.0,207.0,3,1,16°
208.0,208.0,3,1,15.6
209.0,209.0,3,1,20
210.0,210.0,3,1,15
211.0,211.0,3,1,NULL
212.0,212.0,3,1,16
213.0,213.0,3,1,16.1
214.0,214.0,3,1,16.5
215.0,215.0,3,1,14.1
216.0,216.0,3,1,NULL
217.0,217.0,3,1,20
218.0,218.0,3,1,15.36
219.0,219.0,3,1,10.7
220.0,220.0,3,1,18
221.0,221.0,3,1,16.3
222.0,222.0,3,1,11.3
223.0,223.0,3,1,15.7
224.0,224.0,3,1,11.7
226.0,226.0,3,1,15
227.0,227.0,3,1,11.6
228.0,228.0,3,1,15.5
229.0,229.0,3,1,14.4
230.0,230.0,3,1,15
231.0,231.0,3,1,15
232.0,232.0,3,1,11.7
233.0,233.0,3,1,21
234.0,234.0,3,1,21.9
235.0,235.0,3,1,14.9
236.0,236.0,3,1,11.5
238.0,238.0,3,1,15.98
239.0,239.0,3,1,NULL
243.0,243.0,3,1,NULL
244.0,244.0,3,1,16
245.0,245.0,3,1,17.7
248.0,248.0,3,1,11.6
249.0,249.0,3,1,15.5
251.0,251.0,3,1,10.3
252.0,252.0,3,1,10
253.0,253.0,3,1,NULL
254.0,254.0,3,1,15.5
256.0,256.0,3,1,9
257.0,257.0,3,1,15.5
258.0,258.0,3,1,21
259.0,259.0,3,1,10.4
261.0,261.0,3,1,6.2
262.0,262.0,3,1,22.3
263.0,263.0,3,1,12.5
264.0,264.0,3,1,NULL
265.0,265.0,3,1,12.8
267.0,267.0,3,1,NULL
268.0,268.0,3,1,14.2
270.0,270.0,3,1,15
271.0,271.0,3,1,11.4
272.0,272.0,3,1,13
274.0,274.0,3,1,22.0
275.0,275.0,3,1,NULL
276.0,276.0,3,1,11.1
277.0,277.0,3,1,11.5
